Index,Image Features
193,"[4.01663721e-01 3.71536106e-01 5.78945696e-01 ... 2.12744572e-17
 1.00000000e+00 5.77000000e+02]"
194,"[0.00000000e+00 8.03719833e-02 1.98817737e-02 ... 3.26020414e-15
 1.50234742e+00 5.13000000e+02]"
195,"[ 0.00000000e+00  1.30983007e+00  1.34720600e+00 ... -2.61271153e-18
  1.00000000e+00  7.21000000e+02]"
196,"[1.12033948e-01 2.09039614e-01 3.99548002e-02 ... 8.26127022e-18
 7.50000000e-01 1.31300000e+03]"
197,"[4.56787884e-01 3.22608972e+00 1.91968775e+00 ... 8.93669250e-20
 1.50234742e+00 1.31900000e+03]"
198,"[1.66943878e-01 4.89229411e-01 0.00000000e+00 ... 1.47578699e-18
 1.49882904e+00 1.29400000e+03]"
199,"[1.52402505e-01 1.36835241e+00 3.77450287e-01 ... 6.08569478e-18
 1.67101828e+00 8.11000000e+02]"
200,"[ 5.44374026e-02  1.17030568e-01  9.71592206e-04 ... -2.91239593e-16
  7.50000000e-01  4.86000000e+02]"
201,"[ 3.20483148e-01  0.00000000e+00  1.49470598e-01 ... -3.42983849e-16
  6.67187500e-01  4.58000000e+02]"
202,"[6.06932342e-02 8.43802154e-01 1.06985960e-02 ... 5.31849514e-18
 1.50234742e+00 7.37000000e+02]"
203,"[1.24026779e-02 3.00983846e-01 4.18840870e-02 ... 5.45332934e-16
 1.50234742e+00 5.53000000e+02]"
204,"[4.59245175e-01 2.07867801e-01 2.36128673e-01 ... 1.17914125e-13
 7.14062500e-01 4.24000000e+02]"
205,"[1.00265466e-01 4.81896102e-01 1.43965256e+00 ... 3.31846968e-16
 1.00000000e+00 7.19000000e+02]"
206,"[ 0.00000000e+00  2.64372498e-01  7.28321016e-01 ... -1.44010865e-14
  1.33333333e+00  3.56000000e+02]"
207,"[ 2.44680956e-01  1.84002623e-01  6.79268874e-03 ... -1.22025997e-14
  1.50588235e+00  5.02000000e+02]"
208,"[ 2.82420725e-01  4.19829041e-01  6.88341856e-01 ... -8.92362153e-17
  1.33333333e+00  9.75000000e+02]"
209,"[1.07046515e-02 7.49095500e-01 0.00000000e+00 ... 1.59889104e-18
 1.50588235e+00 7.90000000e+02]"
210,"[2.52216548e-01 5.70447445e-01 7.75279582e-01 ... 4.45659175e-16
 1.33333333e+00 4.52000000e+02]"
211,"[1.69144616e-01 1.15948725e+00 1.93712246e+00 ... 1.76961876e-13
 1.00000000e+00 2.11000000e+02]"
212,"[4.33212668e-01 1.73831843e-02 2.33792186e-01 ... 4.08148402e-22
 1.49532710e+00 8.29000000e+02]"
213,"[5.15890270e-02 2.71286964e+00 4.82581884e-01 ... 2.82052836e-18
 1.49882904e+00 7.81000000e+02]"
214,"[0.00000000e+00 6.53111696e-01 4.09088707e+00 ... 1.94420588e-17
 5.98437500e-01 9.20000000e+02]"
